SECCIÓN:,ZONA:,CONTACTO:
(3894) - LOMA DE LA VILLA ESC.PRIM. CUAHUTEMOC,,
(3895) - MATA COYOL ESC. PRIM. MIGUEL HGO Y COSTILLA,,
(3896) - RODRIGUEZ TEJEDA ESC. PRIM. ADOLFO RUIZ CORTINEZ,,
(3897) - MANGOS ESC. PRIM. GABINO BARREDA,,
(3898) - PASO COYOTE ESC. PRIM. JOSEFA O. DE DOMINGUEZ,,
(3899) - JOACHIN ESC.PRIM.MANUELC.TELLO,,
(3900) - JOACHIN BACHILLERES DEL EDO. DE VERACRUZ,,
(3901) - CONTENTO ESC. PRIM. SEGUNDO VERDE SANCHEZ,,
(3902) - CERRO AZUL ESC. PRIM. GUADALUPE VICTORIA,,
(3903) - EJIDO EL MORAL ESC. PRIM. FCO I MADERO,,
(3904) - URSULO GALVAN ( LAS CHARCAS) PRIM. BENITO JUAREZ,,
(3905) - AMAPOLA ESC.PRIM. EMILIANO ZAPATA,,
(3906) - BARRIO ESC.PRIM. IGNACIO ALLENDE,,
(3906) - JICARO ESC.PRIM. GRAL. CONSTITUYENTES DEL 57,,
(3907) - CONCHAS ESC. PRIM. BENITO JUAREZ,,
(3907) - LOMA DEL CABALLO ESC.PRIM. CRISTOBAL COLON,,
(3908) - AMATE EN EL DOMO,,
(3908) - LEONES ESC.PRIM.RAFAEL RAMIREZ,,
(3909) - QUECHULE;O ESC.PRIM. JUAN ESCUTIA,,
(3909) - SERENILLA DE ABAJO DOMO EJIDAL,,
(3910) - FRAILE ESC.PRIM.JOSEFA O. DE DOMINGUEZ,,
(3911) - PRIETAS ESC. PRIM. JOSEFA O. DE DOMINGUEZ,,
(3912) - PEDREGAL ( PATIO DE CASA),,
(3913) - CAZADERO ESC. PRIM. ENRIQUE HERNANDEZ,,
(3914) - BARAHUNDA TELESEC.ALFONSO ARROYO FLORES,,
(3915) - ABISAL ESC.PRIM. JOSEFA O. DE DGUEZ,,
(3916) - NUEVA MAZAMILA ESC. PRIM. ENRIQUE C. REBSAMEN,,
(3917) - IDEAL DE ABAJO TELESEC PROF. GILBERT BRAVO C.,,
(3917) - NUEVO VILLA OJITLAN P5 PRIM.INTERCULTURAL,,
(3918) - BURRERA (EJIDO SAN NICOLAS) PRIM. I.ZARAGOZA,,
(3919) - SANTA LUCIA ESC. PRIM. MIGUEL HIDALGO Y COSTILLA,,
(3920) - EJIDO JOYA DE LA PITA TELEBACH. DE VERACRUZ,,
(3921) - VICTORIA ESC.PRIM. EL PORVENIR,,
(3922) - JOBO ESC. PRIM. CLEMENTE NADAL,,
(3922) - LOMA ALTA ESC.PRIMA. EDUARDO CHAVEZ,,
(3922) - PALMA SOLA ESC. PRIM. FELIPE TORRES,,
(3923) - ATALAYA ESC. PRIM. ADOLFO ORIVE ALBA,,
(3923) - PALENQUE ESC. PRIM. MIGUEL HIDALGO Y COST,,
(3924) - LOMA DEL MANANTIAL TELESEC 18 DE MARZO,,
(3925) - PORVENIR ESC.PRIM. GRAL. FCO VILLA,,
